Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Coastal_Waste_Risk,Continent
China,59.08,Packaging_Industrial,29.8,41.2,High,Asie
United States of America,42.02,Packaging_Consumer,32.1,127.5,Medium,North America
India,26.33,Consumer_Goods,11.5,19.3,High,Asie
Japan,7.99,Packaging_Electronics,84.8,63.2,Medium,Asie
Germany,6.28,Automotive_Packaging,56.1,75.6,Low,Europe
Brazil,5.96,Consumer_Packaging,1.2,28.1,Medium,South America
Indonesia,5.85,Food_Packaging,11.8,21.3,Very_High,Asie
Russia,5.84,Industrial_Consumer,5.6,40.2,Medium,Asie
United Kingdom,5.03,Packaging_Consumer,46.2,74.3,Low,Europe
France,4.98,Packaging_Consumer,27.3,73.1,Low,Europe
Mexico,4.43,Consumer_Packaging,6.7,34.2,High,South America
Canada,3.89,Packaging_Consumer,9.4,102.1,Low,North America
Italy,3.83,Packaging_Industrial,41.2,63.4,Medium,Europe
Turkey,3.21,Consumer_Packaging,12.1,38.5,High,Europe
South Korea,2.91,Electronics_Packaging,59.1,56.7,Medium,Asia
Spain,2.58,Consumer_Packaging,37.8,54.9,Medium,Europe
Vietnam,2.54,Food_Packaging,15.3,25.8,Very_High,Asia
Thailand,2.41,Consumer_Packaging,17.6,34.5,High,Asia
Malaysia,2.31,Industrial_Consumer,24.3,70.2,High,Asia
Poland,2.21,Packaging_Industrial,34.5,58.3,Low,Europe
Egypt,2.01,Consumer_Packaging,6.5,19.3,High,Africa
Argentina,1.98,Consumer_Packaging,14.2,43.5,Medium,South America
Netherlands,1.78,Industrial_Packaging,55.9,102.8,Low,Europe
Australia,1.67,Consumer_Packaging,13.2,64.8,Medium,Australia
Saudi Arabia,1.65,Consumer_Packaging,4.5,46.9,Medium,Asia
Philippines,1.63,Food_Packaging,9.1,14.8,Very_High,Asia
Bangladesh,1.61,Consumer_Packaging,8.4,9.7,High,Asia
Pakistan,1.59,Consumer_Packaging,3.2,7.1,High,Asia
South Africa,1.58,Consumer_Packaging,18.9,26.4,Medium,Africa
Colombia,1.54,Consumer_Packaging,7.8,30.1,Medium,South America
Nigeria,1.53,Consumer_Packaging,2.1,7.3,High,Africa
